chip_peak_id	nearby_BCOR_in_adult	nearby_BCOR_in_P0
CRX.2440	2	2
CRX.2443	0	0
CRX.2444	1	0
CRX.2449	0	0
CRX.2453	0	0
CRX.2454	0	0
CRX.2456	0	0
CRX.2460	0	0
CRX.2471	0	0
CRX.2474	0	0
CRX.2479	1	2
CRX.2480	0	2
CRX.2486	1	0
CRX.2491	0	0
CRX.2492	0	2
CRX.2494	0	0
CRX.2499	0	0
CRX.2506	1	2
CRX.2508	0	0
CRX.2509	0	0
CRX.2513	1	0
CRX.2520	0	0
CRX.2521	0	0
CRX.2525	0	2
CRX.2527	0	2
CRX.2530	0	0
CRX.2532	0	0
CRX.2533	0	0
CRX.2539	0	0
CRX.2540	0	0
CRX.2544	0	0
CRX.2545	0	1
CRX.2548	2	1
CRX.2549	0	2
CRX.2556	2	1
CRX.2557	0	0
CRX.2558	0	0
CRX.2566	0	1
CRX.2567	0	0
CRX.2572	0	0
CRX.2574	0	0
CRX.2576	0	0
CRX.2584	0	0
CRX.2586	0	1
CRX.2597	0	0
CRX.2598	0	1
CRX.2604	2	0
CRX.2605	2	0
CRX.2607	1	0
CRX.2611	0	0
CRX.2613	0	0
CRX.2623	0	0
CRX.2626	0	0
CRX.2628	0	0
CRX.2629	0	0
CRX.2631	1	0
CRX.2633	0	0
CRX.2634	0	0
CRX.2642	0	0
CRX.2648	0	0
CRX.2651	0	0
CRX.2654	0	0
CRX.2655	0	0
CRX.2661	0	0
CRX.2666	0	0
CRX.2668	0	0
CRX.2669	0	0
CRX.2670	1	0
CRX.2672	0	0
CRX.2675	0	0
CRX.2676	0	0
CRX.2683	0	0
CRX.2685	0	0
CRX.2693	0	0
CRX.2698	0	0
CRX.2704	0	0
CRX.2715	0	0
CRX.2717	0	0
CRX.2718	0	0
CRX.2720	0	0
CRX.2721	0	0
CRX.2727	2	2
CRX.2730	0	0
CRX.2734	0	0
CRX.2735	0	0
CRX.2738	0	0
CRX.2739	0	0
CRX.2742	0	0
CRX.2743	0	0
CRX.2746	0	0
CRX.2751	0	0
CRX.2755	0	0
CRX.2758	0	0
CRX.2762	0	2
CRX.2766	0	0
CRX.2773	0	0
CRX.2774	0	0
CRX.2777	0	0
CRX.2779	0	0
CRX.2783	0	0
CRX.2784	0	0
CRX.2787	0	0
CRX.2788	1	1
CRX.2796	0	2
CRX.2799	0	0
CRX.2802	0	0
CRX.2803	0	0
CRX.2811	0	0
CRX.2813	0	0
CRX.2814	0	0
CRX.2815	0	0
CRX.2818	0	0
CRX.2821	0	0
CRX.2823	0	2
CRX.2836	0	0
CRX.2845	0	0
CRX.2847	0	0
CRX.2848	0	0
CRX.2850	0	0
CRX.2856	0	0
CRX.2857	0	0
CRX.2864	0	0
CRX.2871	0	0
CRX.2881	0	0
CRX.2884	0	0
CRX.2887	0	0
CRX.2888	0	0
CRX.2891	0	0
CRX.2898	0	0
CRX.2900	0	0
CRX.2902	0	0
CRX.2911	0	0
CRX.2917	0	0
CRX.2918	0	0
CRX.2924	0	0
CRX.2926	0	0
CRX.2927	0	0
CRX.2929	0	0
CRX.2931	0	0
CRX.2933	0	0
CRX.2937	0	0
CRX.2942	0	0
CRX.2945	0	0
CRX.2947	0	0
CRX.2961	0	0
CRX.2971	0	2
CRX.2981	0	0
CRX.2986	0	0
CRX.2991	0	0
CRX.3002	0	0
CRX.3003	2	0
CRX.3008	0	2
CRX.3009	2	0
CRX.3010	0	0
CRX.3016	0	0
CRX.3021	0	0
CRX.3023	0	0
CRX.3028	0	2
CRX.3036	0	0
CRX.3040	0	0
CRX.3043	1	1
CRX.3045	0	0
CRX.3046	1	0
CRX.3051	1	0
CRX.3053	0	0
CRX.3055	1	0
CRX.3059	0	0
CRX.3061	1	0
CRX.3064	0	0
CRX.3067	0	0
CRX.3068	0	0
CRX.3071	0	0
CRX.3074	0	0
CRX.3076	0	0
CRX.3081	0	0
CRX.3084	0	0
CRX.3099	0	0
CRX.3106	0	0
CRX.3108	0	0
CRX.3113	0	0
CRX.3114	0	0
CRX.3117	0	0
CRX.3118	0	1
CRX.3121	0	0
CRX.3123	0	0
CRX.3131	2	1
CRX.3134	1	1
CRX.3137	0	0
CRX.3138	0	0
CRX.3139	0	0
CRX.3144	0	0
CRX.3149	0	0
CRX.3157	1	2
CRX.3163	0	0
CRX.3168	0	0
CRX.3177	0	0
CRX.3178	0	0
CRX.3179	0	0
CRX.3180	0	0
CRX.3181	0	0
CRX.3185	1	0
CRX.3190	1	0
CRX.3193	0	0
CRX.3195	0	0
CRX.3198	0	0
CRX.3210	0	0
CRX.3211	0	0
CRX.3215	0	0
CRX.3217	0	0
CRX.3218	0	0
CRX.3221	0	0
CRX.3225	0	0
CRX.3227	0	0
CRX.3228	0	0
CRX.3229	0	0
CRX.3233	2	2
CRX.3235	0	0
CRX.3238	0	1
CRX.3239	0	0
CRX.3243	0	0
CRX.3245	0	1
CRX.3246	0	0
CRX.3247	0	0
CRX.3248	0	0
CRX.3249	2	2
CRX.3250	0	0
CRX.3251	0	0
CRX.3253	0	0
CRX.3259	0	0
CRX.3262	1	0
CRX.3263	0	0
CRX.3275	0	0
CRX.3281	0	0
CRX.3283	0	0
CRX.3284	2	2
CRX.3288	0	0
CRX.3289	0	0
CRX.3297	0	0
CRX.3305	0	0
CRX.3310	0	2
CRX.3311	0	0
CRX.3314	2	0
CRX.3315	0	1
CRX.3316	0	0
CRX.3318	0	0
CRX.3324	0	1
CRX.3326	0	0
CRX.3338	0	0
CRX.3345	0	0
CRX.3351	0	0
CRX.3353	0	0
CRX.3356	0	0
CRX.3357	0	0
CRX.3360	0	1
CRX.3361	0	0
CRX.3362	0	0
CRX.3369	0	0
CRX.3373	2	2
CRX.3383	0	0
CRX.3386	0	0
CRX.3389	1	2
CRX.3392	0	0
CRX.3394	0	0
CRX.3396	2	2
CRX.3400	0	0
CRX.3409	0	0
CRX.3410	1	0
CRX.3415	0	0
CRX.3417	0	0
CRX.3418	0	0
CRX.3420	0	0
CRX.3423	0	0
CRX.3424	0	0
CRX.3431	0	0
CRX.3434	0	0
